model,accuracy_at_0_50,precision_at_0_50,recall_at_0_50,f1_at_0_50,roc_auc
Random Forest,0.6636729598206323,0.3057791162573342,0.5819361639052669,0.40090314967777074,0.6836418284200768
Logistic Regression,0.629079721776351,0.28672644916447326,0.6171810665700451,0.39154920747698707,0.6700483893543806
Gradient Boosting,0.8119569925348417,0.6255625562556255,0.06867815145426398,0.123768253591357,0.7044042092050624
